combo,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,mean_rmse_cv,std_rmse_cv,sharpe,dir_acc_pct,mae_pct,profit_factor,TP,TN,FP,FN,accuracy,elapsed_s
106,100000,8,0.001,25.0,1.5,0.005197282541115649,0.0008368731525497687,0.0234560569891418,51.605465414175924,99.99112256974679,1.075124322722731,4799,1244,4537,1130,0.5160546541417592,107.3
9,100000,8,0.03,20.0,1.5,0.005196198635264879,0.0008362373753381212,0.02337884618610414,51.50298889837745,100.03847379961964,1.0748679177928369,4378,1653,4128,1551,0.5150298889837746,9.2
101,10000,6,0.01,25.0,1.5,0.005197398764341166,0.0008368037690920109,0.02303620431688239,51.47736976942784,99.9799414692899,1.0737308054910968,4312,1716,4065,1617,0.5147736976942784,7.8
132,100000,6,0.01,25.0,1.5,0.005197398764341166,0.0008368037690920109,0.02303620431688239,51.47736976942784,99.9799414692899,1.0737308054910968,4312,1716,4065,1617,0.5147736976942784,7.2
1,100000,8,0.001,15.0,1.0,0.00519888872376646,0.0008368272235033332,0.02269870422824745,51.23825789923142,99.98620370237916,1.0726119485423413,4586,1414,4367,1343,0.5123825789923142,69.8
87,100000,8,0.001,15.0,1.5,0.00519888872376646,0.0008368272235033332,0.02269870422824745,51.23825789923142,99.98620370237916,1.0726119485423413,4586,1414,4367,1343,0.5123825789923142,69.8
104,25000,8,0.001,15.0,1.5,0.00519888872376646,0.0008368272235033332,0.02269870422824745,51.23825789923142,99.98620370237916,1.0726119485423413,4586,1414,4367,1343,0.5123825789923142,71.0
56,10000,8,0.001,25.0,1.5,0.005197509740052146,0.0008368817865319567,0.022653143743180587,51.55422715627669,99.98265306283125,1.0724610000829211,4808,1229,4552,1121,0.5155422715627669,98.0
100,100000,6,0.001,11.0,0.5,0.005198620249777857,0.0008370055095460785,0.022612327296391975,51.485909479077705,99.97747687620631,1.0723257875809753,4483,1546,4235,1446,0.5148590947907771,28.0
30,5000,8,0.1,20.0,1.5,0.005199373369719255,0.0008369275856694254,0.022422298294072458,51.14432109308284,100.02154409609787,1.0716965064630364,4220,1769,4012,1709,0.5114432109308283,6.2
59,2000,6,0.1,43.0,1.0,0.005199634828307531,0.0008363597382077008,0.022383549790094777,50.785653287788215,100.07241430947973,1.0715682366942354,4864,1083,4698,1065,0.5078565328778821,3.8
72,5000,6,0.1,43.0,0.5,0.005199634828307531,0.0008363597382077008,0.022383549790094777,50.785653287788215,100.07241430947973,1.0715682366942354,4864,1083,4698,1065,0.5078565328778821,3.8
